comment_id,comment_text,language_human,language_model,sentiment_human,sentiment_model,theme_human,theme_model,product_human,product_model,is_spam_human,is_spam_model,language_match,sentiment_match,theme_match,product_match,is_spam_match
C000360,"C'EST ENJAILLANT, NO DRAP À MARCORY",nouchi,nouchi,positive,positive,other,other,none,unknown,False,True,True,True,True,False,False
C001718,stock fini à Marcory zone 4 dèh à Riviera 3 ??,fr,nouchi,neutral,negative,availability,availability,unknown,unknown,False,False,False,False,True,True,True
C001721,la pub pendant le match était bien placée,fr,en,positive,neutral,promotion,promotion,none,unknown,False,False,False,False,True,False,True
C000551,c'est trop bon le bissap Awalé 😍,fr,en,positive,positive,taste,taste,bissap,bissap,False,False,False,True,True,True,True
C000239,la vidéo TikTok est drôle 😂 à Marcory,fr,en,positive,positive,promotion,promotion,none,none,False,False,False,True,True,True,True
C002243,Boostez vos followers 📈 DM,fr,en,neutral,positive,other,promotion,none,unknown,True,True,False,False,False,False,True
C000769,la bouteille fuit un peu,fr,en,negative,negative,packaging,packaging,unknown,bouye,False,False,False,True,True,False,True
C001866,pourquoi il n'y a plus rien en rayon ? à Riviera 3,fr,en,negative,negative,availability,availability,unknown,bouye,False,True,False,True,True,False,False
C002550,mes  enfants adorent le bissap Awalé,fr,en,positive,positive,taste,taste,bissap,bissap,False,False,False,True,True,True,True
C000919,svp le 33cl est parfait pour le bureau 👌,fr,en,positive,positive,packaging,packaging,unknown,unknown,False,False,False,True,True,True,True
C001124,mes enfants adorent le bissap Awalé,fr,en,positive,positive,taste,taste,bissap,bissap,False,False,False,True,True,True,True
C001439,commande annulée sans explication,fr,en,negative,negative,delivery,delivery,none,unknown,False,False,False,True,True,False,True
C001348,mon  frère c'est cher dèh ooh,nouchi,nouchi,negative,negative,price,price,unknown,bouye,False,False,True,True,True,False,True
C002532,❤️❤️❤️,other,en,positive,positive,other,taste,none,unknown,False,False,False,True,False,False,True
C001195,"j'ai vu à la radio, j'ai testé, je ne regrette pas 🇨🇮",fr,en,positive,positive,promotion,promotion,none,unknown,False,False,False,True,True,False,True
C001260,"j'ai vu à la radio, j'ai testé, je ne regrette pas",fr,en,positive,positive,promotion,promotion,none,none,False,False,False,True,True,True,True
C001456,wê on veut le gingembre,nouchi,nouchi,neutral,negative,product_question,price,gingembre,gingembre,False,False,True,False,False,True,True
C002509,franchement quels sont les conservateurs dedans ?,fr,en,neutral,negative,health,health,unknown,unknown,False,False,False,False,True,True,True
C002331,le stand hier à Cocody 🔥 dégustation top,fr,en,positive,positive,promotion,promotion,none,unknown,False,False,False,True,True,False,True
C000974,"j'ai commandé sur WhatsApp, arrivé rapide 👍",fr,en,positive,positive,delivery,delivery,none,unknown,False,False,False,True,True,False,True
C002483,rupture partout à Angré depuis 2 semaines 😤 à Bingerville,fr,en,negative,negative,availability,availability,unknown,bouye,False,False,False,True,True,False,True
C001316,❤️❤️❤️,other,en,positive,positive,other,taste,none,unknown,False,False,False,True,False,False,True
C000727,arrêtez les pubs trop répétitives svp,fr,en,negative,negative,promotion,other,none,unknown,False,True,False,True,False,False,False
C002549,"slt je prends 2 bouteilles chaque soir, top",fr,en,positive,positive,taste,packaging,unknown,bouye,False,False,False,True,False,False,True
C000242,l'étiquette se décolle au frigo,fr,en,negative,negative,packaging,packaging,unknown,bouye,False,False,False,True,True,False,True
C001912,slt stock fini à Marcory zone 4 à Abobo,fr,en,negative,negative,availability,availability,unknown,unknown,False,False,False,True,True,True,True
C001899,svp on ne trouve plus 😭 c'est fini ?,fr,en,negative,negative,availability,availability,unknown,unknown,False,True,False,True,True,True,False
C000270,"vraiment bravo, c'est bien fait",fr,en,positive,positive,other,taste,none,bouye,False,False,False,True,False,False,True
C000501,Suis moi je te suis 🔙,fr,en,neutral,negative,other,other,none,none,True,True,False,False,True,True,True
C001673,eh votre stand à Yopougon était bien organisé à Yopougon,fr,en,positive,neutral,promotion,promotion,none,unknown,False,False,False,False,True,False,True
C002739,"j'ai vu à la radio, j'ai testé, je ne regrette pas",fr,en,positive,positive,promotion,promotion,none,none,False,False,False,True,True,True,True
C001269,PRÊT D'ARGENT RAPIDE SANS GARANTIE contactez,fr,en,neutral,negative,other,price,none,unknown,True,True,False,False,False,False,True
C001107,rupture partout à Angré depuis 2 semaines 😤 😋,fr,en,negative,negative,availability,availability,unknown,unknown,False,False,False,True,True,True,True
C000071,cé sucré comment ? il y a du sucre ajouté ? 🔥,nouchi,en,neutral,positive,health,health,unknown,unknown,False,False,False,False,True,True,True
C001457,le prix a encore monté ?,fr,en,negative,negative,price,price,unknown,unknown,False,False,False,True,True,True,True
C001692,"j'ai fait 3 boutiques, rien qui est comme moi ? 👏",fr,en,positive,positive,other,taste,unknown,bouye,False,False,False,True,False,False,True
C000771,le 33cl est parfait pour le bureau 👌 hein à Angré,fr,en,positive,positive,packaging,packaging,unknown,bouye,False,False,False,True,True,False,True
C000263,y a pas au maquis de Yopougon,fr,en,negative,negative,availability,availability,unknown,unknown,False,True,False,True,True,True,False
C002035,"qualité au top, continuez comme ça 💪 mdr",fr,en,positive,positive,taste,other,unknown,none,False,False,False,True,False,False,True
C001368,@awale_ci vous avez une version sans sucre ?!!,fr,en,neutral,negative,product_question,health,unknown,none,False,False,False,False,False,False,True
C002139,c'est sucré comment ? il y a du sucre ajouté ? hein,fr,en,neutral,neutral,health,health,unknown,none,False,False,False,True,True,False,True
C002022,le gingembre est enjaillant dèh 🔥 🇨🇮,nouchi,nouchi,positive,positive,taste,taste,gingembre,gingembre,False,True,True,True,True,True,False
C001694,"plus de bissap dans mon quartier, c'est comment ?!!",fr,en,negative,negative,availability,availability,bissap,bissap,False,False,False,True,True,True,True
